year,player_exp
2001,54
2002,56
2003,65
2004,58
2005,72
2006,69
2007,86
2008,93
2009,85
2010,89
2011,97
2012,102
2013,127
2014,130
2015,134
2016,120
2017,118
2018,119
2019,148
2020,70
2021,153
2022,138
