year,tick_price
2006,17.90
2007,17.71
2008,19.41
2009,19.19
2010,19.19
2011,20.56
2012,20.49
2013,21.35
2014,22.03
2015,22.03
2016,22.01
2018,21.14
2019,21.14
2020,24.16
2021,24.30
2022,24.25
