year,oper_inc
2002,4.90
2003,11.70
2004,22.60
2005,17.90
2006,22.40
2007,19.30
2008,17
2009,17.80
2010,20.10
2011,17.10
2012,20.90
2013,-11.60
2014,2.20
2015,9
2016,15.90
2017,14
2018,37
2019,23
2020,-47
2021,0.40
2022,-9.60
