year,revenue
2001,87
2002,91
2003,123
2004,127
2005,137
2006,146
2007,161
2008,171
2009,166
2010,179
2011,185
2012,202
2013,209
2014,227
2015,237
2016,229
2017,243
2018,257
2019,276
2020,114
2021,266
2022,250
