year,attendance
2006,2.13
2007,2.06
2008,2.06
2009,1.75
2010,2.06
2011,2.21
2012,2.35
2013,2.53
2014,2.48
2015,2.42
2016,1.89
2017,1.84
2018,1.63
2019,1.81
2021,1.51
2022,1.40
