year,revenue
2001,127
2002,122
2003,126
2004,136
2005,145
2006,154
2007,165
2008,177
2009,172
2010,180
2011,186
2012,195
2013,192
2014,211
2015,223
2016,253
2017,258
2018,275
2019,278
2020,118
2021,267
2022,276
