year,player_exp
2001,77
2002,95
2003,95
2004,103
2005,68
2006,88
2007,97
2008,108
2009,106
2010,102
2011,86
2012,103
2013,106
2014,125
2015,103
2016,111
2017,118
2018,158
2019,145
2020,79
2021,110
2022,121
