year,tick_price
2006,19.68
2007,13.79
2008,15.96
2009,14.31
2010,14.31
2011,15.74
2012,15.74
2013,16.89
2014,17.98
2015,17.98
2016,18.53
2018,19.65
2019,20.86
2020,21.38
2021,21.38
2022,22.12
