year,attendance
2006,2.09
2007,2.32
2008,2.51
2009,2.13
2010,2.06
2011,2.11
2012,2.18
2013,2.13
2014,2.07
2015,2.08
2016,2.04
2017,2.13
2018,2.24
2019,2.14
2021,1.04
2022,1.61
