year,oper_inc
2002,-22.20
2003,-15.20
2004,-18.70
2005,21.80
2006,6.40
2007,5.90
2008,3.90
2009,-0.60
2010,6.20
2011,27.20
2012,7.60
2013,-5.80
2014,-2.20
2015,17.40
2016,47.20
2017,34
2018,10
2019,27
2020,-47
2021,40
2022,30
