year,oper_inc
2002,-23.9
2003,-8.1
2004,7.8
2005,29.7
2006,11
2007,-1.8
2008,3
2009,13.1
2010,3.6
2011,24.9
2012,-4.8
2013,-14.9
2014,-17.9
2015,1.2
2016,22.9
2017,-1.3
2018,-16
2019,16
2020,-56
2021,-52
2022,-34
