year,player_exp
2001,83
2002,85
2003,68
2004,62
2005,61
2006,90
2007,104
2008,110
2009,95
2010,101
2011,100
2012,108
2013,135
2014,154
2015,148
2016,164
2017,180
2018,178
2019,135
2020,71
2021,168
2022,200
