year,tick_price
2006,23.40
2007,22.65
2008,28.37
2009,19.10
2010,23.84
2011,24.35
2012,24.81
2013,25.38
2014,22.78
2015,25.14
2016,31.01
2018,26.07
2019,29.69
2020,29.99
2021,83.93
2022,32.03
