year,attendance
2006,2.3
2007,2.36
2008,2.4
2009,1.88
2010,1.63
2011,1.82
2012,2.1
2013,2.54
2014,2.38
2015,2.79
2016,3.39
2017,3.2
2018,2.33
2019,1.75
2021,0.81
2022,2.65
