year,revenue
2001,91
2002,90
2003,99
2004,107
2005,136
2006,157
2007,160
2008,172
2009,163
2010,168
2011,188
2012,203
2013,218
2014,227
2015,241
2016,278
2017,274
2018,265
2019,265
2020,116
2021,238
2022,294
