year,oper_inc
2002,-11.20
2003,6.60
2004,3
2005,20.80
2006,8.40
2007,7.40
2008,9
2009,8.90
2010,10.30
2011,28.50
2012,16.30
2013,-6.50
2014,26.60
2015,39
2016,-0.90
2017,-17
2018,5.30
2019,27
2020,-37
2021,47
2022,33
