year,revenue
2001,85
2002,85
2003,98
2004,104
2005,117
2006,123
2007,131
2008,143
2009,155
2010,160
2011,161
2012,169
2013,178
2014,231
2015,273
2016,246
2017,245
2018,244
2019,251
2020,109
2021,263
2022,260
