year,player_exp
2001,46
2002,61
2003,54
2004,59
2005,53
2006,66
2007,74
2008,83
2009,94
2010,90
2011,87
2012,83
2013,102
2014,113
2015,141
2016,156
2017,168
2018,140
2019,122
2020,53
2021,108
2022,112
