year,tick_price
2006,13.71
2007,14.48
2008,17.54
2009,19.38
2010,19.38
2011,18.95
2012,21.84
2013,19.83
2014,24.73
2015,29.76
2016,26.88
2018,33.58
2019,32.84
2020,31.75
2021,31.57
2022,35.16
