year,attendance
2006,1.39
2007,1.62
2008,1.62
2009,1.82
2010,1.64
2011,1.72
2012,1.74
2013,1.75
2014,1.96
2015,2.71
2016,2.56
2017,2.22
2018,1.67
2019,1.48
2021,1.16
2022,1.28
