year,revenue
2001,125
2002,121
2003,128
2004,155
2005,173
2006,184
2007,193
2008,194
2009,189
2010,197
2011,196
2012,196
2013,186
2014,175
2015,270
2016,299
2017,347
2018,368
2019,240
2020,126
2021,388
2022,407
