year,tick_price
2006,28.12
2007,28.58
2008,28.84
2009,29.13
2010,29.29
2011,30.84
2012,30.09
2013,30.09
2014,27.98
2015,31.82
2016,37.25
2018,40.25
2019,49.85
2020,55.58
2021,57.41
2022,58.61
