year,oper_inc
2002,-0.80
2003,-1.90
2004,9.60
2005,30.20
2006,18.40
2007,20.40
2008,17
2009,7.10
2010,14.40
2011,24.30
2012,24.70
2013,55.90
2014,21.60
2015,66.60
2016,75.90
2017,77
2018,66
2019,99
2020,-76
2021,29
2022,44
