year,oper_inc
2002,-2.10
2003,11.40
2004,-11.30
2005,-18.50
2006,19.50
2007,-19.10
2008,25.70
2009,40
2010,-1.10
2011,25.40
2012,23.90
2013,25.30
2014,49.20
2015,43.20
2016,78.60
2017,86
2018,84
2019,89
2020,-70
2021,69
2022,72
