year,player_exp
2001,120
2002,124
2003,116
2004,139
2005,154
2006,146
2007,199
2008,165
2009,145
2010,187
2011,191
2012,190
2013,186
2014,182
2015,208
2016,205
2017,209
2018,247
2019,246
2020,95
2021,210
2022,242
