year,revenue
2001,152
2002,171
2003,190
2004,201
2005,206
2006,234
2007,263
2008,269
2009,266
2010,272
2011,310
2012,336
2013,357
2014,370
2015,398
2016,434
2017,453
2018,516
2019,519
2020,152
2021,479
2022,513
