year,attendance
2006,2.93
2007,2.97
2008,3.05
2009,3.06
2010,3.05
2011,3.05
2012,3.04
2013,2.83
2014,2.96
2015,2.88
2016,2.96
2017,2.92
2018,2.90
2019,2.92
2021,1.73
2022,2.63
