year,tick_price
2006,46.46
2007,47.71
2008,48.80
2009,50.24
2010,52.32
2011,53.38
2012,53.38
2013,53.38
2014,52.32
2015,52.34
2016,54.79
2018,56.97
2019,59.32
2020,60.09
2021,61.71
2022,61.71
