year,oper_inc
2002,9.50
2003,-0.30
2004,15.40
2005,27.60
2006,14.80
2007,28.10
2008,4.70
2009,1.50
2010,22.20
2011,20.70
2012,12.40
2013,38.40
2014,33.20
2015,27.80
2016,15.20
2017,46
2018,71
2019,92
2020,-67
2021,83
2022,51
