year,tick_price
2006,17.07
2007,17.17
2008,17.05
2009,17.05
2010,17.05
2011,19.38
2012,16.69
2013,17.32
2014,18.53
2015,19.14
2016,19.38
2018,31.71
2019,29.44
2020,30.79
2021,31.78
2022,34.76
