year,attendance
2006,2.58
2007,2.75
2008,2.53
2009,2.37
2010,2.51
2011,2.37
2012,2.42
2013,2.55
2014,2.35
2015,2
2016,2.02
2017,2.51
2018,2.56
2019,2.65
2021,2.30
2022,3.13
