year,revenue
2001,160
2002,163
2003,156
2004,162
2005,172
2006,183
2007,199
2008,186
2009,188
2010,201
2011,203
2012,225
2013,253
2014,267
2015,266
2016,275
2017,336
2018,344
2019,382
2020,132
2021,443
2022,425
