year,player_exp
2001,103
2002,106
2003,109
2004,94
2005,91
2006,110
2007,101
2008,106
2009,111
2010,97
2011,102
2012,109
2013,106
2014,127
2015,125
2016,137
2017,141
2018,133
2019,150
2020,77
2021,175
2022,206
