year,tick_price
2006,24.53
2007,25.11
2008,22.06
2009,23.28
2010,28.79
2011,25.04
2012,27.21
2013,30.09
2014,31.63
2015,33.78
2016,35.76
2018,38.3
2019,38.32
2020,37.32
2021,38.57
2022,39.04
