year,player_exp
2001,78
2002,91
2003,103
2004,91
2005,98
2006,99
2007,111
2008,103
2009,106
2010,114
2011,137
2012,148
2013,153
2014,176
2015,198
2016,193
2017,198
2018,219
2019,192
2020,89
2021,191
2022,179
