year,revenue
2001,142
2002,159
2003,153
2004,159
2005,171
2006,184
2007,197
2008,196
2009,201
2010,230
2011,230
2012,262
2013,316
2014,387
2015,409
2016,428
2017,445
2018,462
2019,452
2020,151
2021,384
2022,421
