year,attendance
2006,3.13
2007,3.22
2008,2.86
2009,2.86
2010,3.04
2011,3.39
2012,3.38
2013,3.33
2014,3.37
2015,3.38
2016,3.37
2017,3.3
2018,3.16
2019,2.71
2021,1.68
2022,2.48
