year,oper_inc
2002,13.9
2003,0.7
2004,6.9
2005,11.2
2006,18.5
2007,19.9
2008,22.4
2009,23.5
2010,29.9
2011,8.8
2012,17.6
2013,53.3
2014,68.4
2015,72.6
2016,78.1
2017,84
2018,84
2019,96
2020,-64
2021,32
