year,player_exp
2001,43
2002,49
2003,60
2004,51
2005,69
2006,74
2007,57
2008,75
2009,84
2010,85
2011,94
2012,107
2013,131
2014,153
2015,179
2016,167
2017,186
2018,199
2019,215
2020,88
2021,167
2022,180
