year,attendance
2006,2.15
2007,1.96
2008,2.35
2009,1.84
2010,1.83
2011,1.94
2012,2.37
2013,2.65
2014,2.58
2015,2.62
2016,2.48
2017,2.52
2018,2.53
2019,2.26
2021,1.47
2022,2.03
