year,revenue
2001,63
2002,66
2003,81
2004,80
2005,145
2006,144
2007,153
2008,184
2009,184
2010,194
2011,200
2012,225
2013,244
2014,287
2015,293
2016,304
2017,311
2018,336
2019,370
2020,119
2021,322
2022,356
