year,tick_price
2006,20.88
2007,21.11
2008,25
2009,30.63
2010,30.63
2011,30.54
2012,30.54
2013,35.24
2014,35.24
2015,36.02
2016,36.59
2018,42.02
2019,44.12
2020,47.46
2021,47.46
2022,48.95
