year,revenue
2001,143
2002,150
2003,154
2004,166
2005,189
2006,211
2007,224
2008,241
2009,247
2010,246
2011,230
2012,245
2013,293
2014,403
2015,438
2016,462
2017,522
2018,549
2019,556
2020,185
2021,565
2022,581
