year,tick_price
2006,20.09
2007,26.28
2008,29.66
2009,29.66
2010,29.66
2011,30.59
2012,23.22
2013,22.37
2014,25.80
2015,28.61
2016,31.90
2018,41.13
2019,42.62
2020,46.16
2021,46.85
2022,50.19
