year,player_exp
2001,119
2002,122
2003,117
2004,110
2005,111
2006,113
2007,132
2008,138
2009,124
2010,118
2011,127
2012,137
2013,243
2014,268
2015,346
2016,275
2017,261
2018,208
2019,217
2020,121
2021,288
2022,269
