year,attendance
2006,3.76
2007,3.86
2008,3.73
2009,3.76
2010,3.56
2011,2.94
2012,3.32
2013,3.74
2014,3.78
2015,3.76
2016,3.70
2017,3.77
2018,3.86
2019,3.97
2021,2.80
2022,3.86
