year,oper_inc
2002,-1
2003,10.40
2004,27.20
2005,34.60
2006,24.90
2007,29.20
2008,19.50
2009,10.10
2010,12.10
2011,30.10
2012,22.90
2013,-1.90
2014,8.90
2015,18
2016,46.90
2017,31
2018,16
2019,43
2020,-20
2021,71
2022,40
