year,attendance
2006,2
2007,2.3
2008,2.2
2009,1.78
2010,1.39
2011,1.84
2012,1.71
2013,1.57
2014,1.44
2015,1.39
2016,1.59
2017,2.05
2018,1.93
2019,1.74
2021,1.11
2022,1.3
