year,player_exp
2001,103
2002,93
2003,68
2004,55
2005,58
2006,72
2007,82
2008,95
2009,91
2010,76
2011,69
2012,82
2013,101
2014,101
2015,103
2016,118
2017,144
2018,157
2019,136
2020,53
2021,70
2022,91
