year,tick_price
2006,21.54
2007,21.32
2008,25.72
2009,22.12
2010,22.12
2011,18.49
2012,20.42
2013,19.59
2014,21.31
2015,22.38
2016,25.61
2018,30.04
2019,31.16
2020,31.16
2021,33.33
2022,30.53
