year,revenue
2001,150
2002,141
2003,127
2004,139
2005,150
2006,158
2007,181
2008,181
2009,170
2010,168
2011,178
2012,186
2013,196
2014,207
2015,220
2016,271
2017,284
2018,282
2019,290
2020,117
2021,267
2022,268
