year,attendance
2006,4.20
2007,4.27
2008,4.30
2009,3.67
2010,3.77
2011,3.65
2012,3.54
2013,3.28
2014,3.40
2015,3.19
2016,3.06
2017,3.15
2018,3.48
2019,3.30
2021,1.96
2022,3.14
