year,oper_inc
2002,16.10
2003,-26.30
2004,-37.10
2005,-50
2006,-25.20
2007,-47.30
2008,-3.70
2009,24.90
2010,25.70
2011,10
2012,1.40
2013,-9.10
2014,8.10
2015,13
2016,39
2017,14
2018,29
2019,35
2020,-190
2021,-40
2022,16
