year,revenue
2001,215
2002,223
2003,238
2004,264
2005,277
2006,302
2007,327
2008,375
2009,441
2010,427
2011,439
2012,471
2013,461
2014,508
2015,516
2016,526
2017,619
2018,668
2019,683
2020,108
2021,482
2022,657
