year,player_exp
2001,128
2002,141
2003,176
2004,197
2005,223
2006,219
2007,253
2008,236
2009,240
2010,236
2011,227
2012,236
2013,225
2014,241
2015,241
2016,241
2017,220
2018,193
2019,220
2020,122
2021,223
2022,262
