year,tick_price
2006,18.11
2007,18.19
2008,19.88
2009,20.98
2010,22.10
2011,22.10
2012,24.01
2013,24.95
2014,24.96
2015,26.32
2016,26.32
2018,26.10
2019,28.44
2020,30.10
2021,30.10
2022,31.29
