year,attendance
2006,2.34
2007,2.87
2008,3.07
2009,3.04
2010,2.78
2011,3.07
2012,2.83
2013,2.53
2014,2.80
2015,2.54
2016,2.31
2017,2.56
2018,2.85
2019,2.92
2021,1.82
2022,2.41
