year,oper_inc
2002,-6.10
2003,5.10
2004,24.20
2005,22.40
2006,20.80
2007,19.20
2008,11.80
2009,10.20
2010,12.40
2011,19.20
2012,9
2013,6.80
2014,11.30
2015,27
2016,58.20
2017,67
2018,66
2019,43
2020,-46
2021,29
2022,23
