year,revenue
2001,108
2002,98
2003,102
2004,112
2005,131
2006,144
2007,158
2008,173
2009,171
2010,179
2011,195
2012,201
2013,197
2014,226
2015,234
2016,239
2017,255
2018,288
2019,295
2020,104
2021,269
2022,294
