year,player_exp
2001,52
2002,64
2003,54
2004,40
2005,57
2006,65
2007,81
2008,101
2009,100
2010,100
2011,105
2012,113
2013,103
2014,126
2015,116
2016,85
2017,85
2018,113
2019,141
2020,53
2021,121
2022,149
