year,attendance
2006,3.41
2007,3.37
2008,3.34
2009,3.24
2010,3.25
2011,3.17
2012,3.06
2013,3.02
2014,3.10
2015,3.01
2016,3.02
2017,3.02
2018,3.02
2019,3.02
2021,1.51
2022,2.46
