year,revenue
2001,103
2002,118
2003,127
2004,147
2005,167
2006,187
2007,200
2008,212
2009,217
2010,222
2011,226
2012,239
2013,253
2014,304
2015,312
2016,350
2017,334
2018,348
2019,377
2020,141
2021,331
2022,371
