year,tick_price
2006,18.97
2007,19.49
2008,20.78
2009,20.05
2010,18.93
2011,17.13
2012,19.71
2013,27.54
2014,27.40
2015,27.54
2016,32.70
2018,30.26
2019,30.92
2020,30.92
2021,30.92
2022,32.03
