year,oper_inc
2002,-3.70
2003,-5.50
2004,-30
2005,-2.60
2006,11.50
2007,15.20
2008,10.30
2009,12
2010,11.80
2011,-1.20
2012,-12.90
2013,5.80
2014,16.70
2015,41.70
2016,68.10
2017,25
2018,19
2019,61
2020,-33
2021,-2.40
2022,36
